Date_Time,Year,Month,Value,Anom,ID,Value_lm,Anom_lm,Units
15-MAR-1958 23:39,1958,3,315.71,314.44,CO2,NA,NA,ppm
16-APR-1958 00:15,1958,4,317.45,315.16,CO2,NA,NA,ppm
16-MAY-1958 00:19,1958,5,317.51,314.69,CO2,NA,NA,ppm
16-JUN-1958 00:02,1958,6,317.27,315.15,CO2,NA,NA,ppm
16-JUL-1958 00:07,1958,7,315.87,315.2,CO2,NA,NA,ppm
15-AUG-1958 23:50,1958,8,314.93,316.21,CO2,NA,NA,ppm
15-SEP-1958 23:34,1958,9,313.21,316.11,CO2,NA,NA,ppm
15-OCT-1958 23:38,1958,10,312.42,315.41,CO2,NA,NA,ppm
16-NOV-1958 00:14,1958,11,313.33,315.21,CO2,NA,NA,ppm
16-DEC-1958 00:18,1958,12,314.67,315.43,CO2,NA,NA,ppm
16-JAN-1959 00:02,1959,1,315.58,315.52,CO2,NA,NA,ppm
15-FEB-1959 23:45,1959,2,316.49,315.84,CO2,NA,NA,ppm
15-MAR-1959 23:39,1959,3,316.65,315.37,CO2,NA,NA,ppm
16-APR-1959 00:15,1959,4,317.72,315.42,CO2,NA,NA,ppm
16-MAY-1959 00:19,1959,5,318.29,315.46,CO2,NA,NA,ppm
16-JUN-1959 00:02,1959,6,318.15,316,CO2,NA,NA,ppm
16-JUL-1959 00:07,1959,7,316.54,315.87,CO2,NA,NA,ppm
15-AUG-1959 23:50,1959,8,314.8,316.09,CO2,NA,NA,ppm
15-SEP-1959 23:34,1959,9,313.84,316.75,CO2,NA,NA,ppm
15-OCT-1959 23:38,1959,10,313.33,316.34,CO2,NA,NA,ppm
16-NOV-1959 00:14,1959,11,314.81,316.69,CO2,NA,NA,ppm
16-DEC-1959 00:18,1959,12,315.58,316.35,CO2,NA,NA,ppm
16-JAN-1960 00:08,1960,1,316.43,316.38,CO2,NA,NA,ppm
16-FEB-1960 00:08,1960,2,316.98,316.33,CO2,NA,NA,ppm
15-MAR-1960 23:50,1960,3,317.58,316.27,CO2,NA,NA,ppm
15-APR-1960 23:50,1960,4,319.03,316.7,CO2,NA,NA,ppm
16-MAY-1960 00:08,1960,5,320.03,317.19,CO2,NA,NA,ppm
16-JUN-1960 00:08,1960,6,319.58,317.45,CO2,NA,NA,ppm
16-JUL-1960 00:25,1960,7,318.18,317.54,CO2,NA,NA,ppm
16-AUG-1960 00:25,1960,8,315.9,317.22,CO2,NA,NA,ppm
16-SEP-1960 00:26,1960,9,314.17,317.1,CO2,NA,NA,ppm
15-OCT-1960 23:50,1960,10,313.83,316.85,CO2,NA,NA,ppm
15-NOV-1960 23:51,1960,11,315,316.89,CO2,NA,NA,ppm
16-DEC-1960 00:08,1960,12,316.19,316.96,CO2,NA,NA,ppm
16-JAN-1961 00:02,1961,1,316.89,316.84,CO2,NA,NA,ppm
15-FEB-1961 23:45,1961,2,317.7,317.05,CO2,NA,NA,ppm
15-MAR-1961 23:39,1961,3,318.54,317.25,CO2,NA,NA,ppm
16-APR-1961 00:15,1961,4,319.48,317.16,CO2,NA,NA,ppm
16-MAY-1961 00:19,1961,5,320.58,317.73,CO2,NA,NA,ppm
16-JUN-1961 00:02,1961,6,319.77,317.61,CO2,NA,NA,ppm
16-JUL-1961 00:07,1961,7,318.56,317.89,CO2,NA,NA,ppm
15-AUG-1961 23:50,1961,8,316.79,318.09,CO2,NA,NA,ppm
15-SEP-1961 23:34,1961,9,314.99,317.92,CO2,NA,NA,ppm
15-OCT-1961 23:38,1961,10,315.31,318.34,CO2,NA,NA,ppm
16-NOV-1961 00:14,1961,11,316.1,318,CO2,NA,NA,ppm
16-DEC-1961 00:18,1961,12,317.01,317.78,CO2,NA,NA,ppm
16-JAN-1962 00:02,1962,1,317.94,317.89,CO2,NA,NA,ppm
15-FEB-1962 23:45,1962,2,318.55,317.89,CO2,NA,NA,ppm
15-MAR-1962 23:39,1962,3,319.68,318.39,CO2,NA,NA,ppm
16-APR-1962 00:15,1962,4,320.57,318.24,CO2,NA,NA,ppm
16-MAY-1962 00:19,1962,5,321.02,318.16,CO2,NA,NA,ppm
16-JUN-1962 00:02,1962,6,320.62,318.45,CO2,NA,NA,ppm
16-JUL-1962 00:07,1962,7,319.61,318.94,CO2,NA,NA,ppm
15-AUG-1962 23:50,1962,8,317.4,318.71,CO2,NA,NA,ppm
15-SEP-1962 23:34,1962,9,316.24,319.18,CO2,NA,NA,ppm
15-OCT-1962 23:38,1962,10,315.42,318.46,CO2,NA,NA,ppm
16-NOV-1962 00:14,1962,11,316.69,318.59,CO2,NA,NA,ppm
16-DEC-1962 00:18,1962,12,317.7,318.47,CO2,NA,NA,ppm
16-JAN-1963 00:02,1963,1,318.74,318.69,CO2,NA,NA,ppm
15-FEB-1963 23:45,1963,2,319.07,318.41,CO2,NA,NA,ppm
15-MAR-1963 23:39,1963,3,319.86,318.57,CO2,NA,NA,ppm
16-APR-1963 00:15,1963,4,321.38,319.05,CO2,NA,NA,ppm
16-MAY-1963 00:19,1963,5,322.24,319.38,CO2,NA,NA,ppm
16-JUN-1963 00:02,1963,6,321.49,319.31,CO2,NA,NA,ppm
16-JUL-1963 00:07,1963,7,319.74,319.07,CO2,NA,NA,ppm
15-AUG-1963 23:50,1963,8,317.77,319.07,CO2,NA,NA,ppm
15-SEP-1963 23:34,1963,9,316.21,319.16,CO2,NA,NA,ppm
15-OCT-1963 23:38,1963,10,315.99,319.03,CO2,NA,NA,ppm
16-NOV-1963 00:14,1963,11,317.07,318.98,CO2,NA,NA,ppm
16-DEC-1963 00:18,1963,12,318.35,319.13,CO2,NA,NA,ppm
16-JAN-1964 00:08,1964,1,319.57,319.52,CO2,NA,NA,ppm
16-FEB-1964 00:08,1964,2,320.04,319.37,CO2,NA,NA,ppm
15-MAR-1964 23:50,1964,3,320.75,319.41,CO2,NA,NA,ppm
15-APR-1964 23:50,1964,4,321.84,319.46,CO2,NA,NA,ppm
16-MAY-1964 00:08,1964,5,322.25,319.37,CO2,NA,NA,ppm
16-JUN-1964 00:08,1964,6,321.89,319.73,CO2,NA,NA,ppm
16-JUL-1964 00:25,1964,7,320.44,319.79,CO2,NA,NA,ppm
16-AUG-1964 00:25,1964,8,318.69,320.03,CO2,NA,NA,ppm
16-SEP-1964 00:26,1964,9,316.71,319.67,CO2,NA,NA,ppm
15-OCT-1964 23:50,1964,10,316.87,319.93,CO2,NA,NA,ppm
15-NOV-1964 23:51,1964,11,317.68,319.59,CO2,NA,NA,ppm
16-DEC-1964 00:08,1964,12,318.71,319.49,CO2,NA,NA,ppm
16-JAN-1965 00:02,1965,1,319.44,319.38,CO2,NA,NA,ppm
15-FEB-1965 23:45,1965,2,320.44,319.79,CO2,NA,NA,ppm
15-MAR-1965 23:39,1965,3,320.89,319.59,CO2,NA,NA,ppm
16-APR-1965 00:15,1965,4,322.14,319.79,CO2,NA,NA,ppm
16-MAY-1965 00:19,1965,5,322.17,319.28,CO2,NA,NA,ppm
16-JUN-1965 00:02,1965,6,321.87,319.68,CO2,NA,NA,ppm
16-JUL-1965 00:07,1965,7,321.21,320.53,CO2,NA,NA,ppm
15-AUG-1965 23:50,1965,8,318.87,320.18,CO2,NA,NA,ppm
15-SEP-1965 23:34,1965,9,317.82,320.78,CO2,NA,NA,ppm
15-OCT-1965 23:38,1965,10,317.3,320.37,CO2,NA,NA,ppm
16-NOV-1965 00:14,1965,11,318.87,320.79,CO2,NA,NA,ppm
16-DEC-1965 00:18,1965,12,319.42,320.2,CO2,NA,NA,ppm
16-JAN-1966 00:02,1966,1,320.62,320.57,CO2,NA,NA,ppm
15-FEB-1966 23:45,1966,2,321.6,320.94,CO2,NA,NA,ppm
15-MAR-1966 23:39,1966,3,322.39,321.08,CO2,NA,NA,ppm
16-APR-1966 00:15,1966,4,323.7,321.34,CO2,NA,NA,ppm
16-MAY-1966 00:19,1966,5,324.08,321.18,CO2,NA,NA,ppm
16-JUN-1966 00:02,1966,6,323.75,321.55,CO2,NA,NA,ppm
16-JUL-1966 00:07,1966,7,322.37,321.69,CO2,NA,NA,ppm
15-AUG-1966 23:50,1966,8,320.36,321.68,CO2,NA,NA,ppm
15-SEP-1966 23:34,1966,9,318.64,321.61,CO2,NA,NA,ppm
15-OCT-1966 23:38,1966,10,318.1,321.18,CO2,NA,NA,ppm
16-NOV-1966 00:14,1966,11,319.78,321.71,CO2,NA,NA,ppm
16-DEC-1966 00:18,1966,12,321.02,321.81,CO2,NA,NA,ppm
16-JAN-1967 00:02,1967,1,322.33,322.28,CO2,NA,NA,ppm
15-FEB-1967 23:45,1967,2,322.5,321.83,CO2,NA,NA,ppm
15-MAR-1967 23:39,1967,3,323.03,321.72,CO2,NA,NA,ppm
16-APR-1967 00:15,1967,4,324.41,322.05,CO2,NA,NA,ppm
16-MAY-1967 00:19,1967,5,325,322.09,CO2,NA,NA,ppm
16-JUN-1967 00:02,1967,6,324.09,321.89,CO2,NA,NA,ppm
16-JUL-1967 00:07,1967,7,322.54,321.86,CO2,NA,NA,ppm
15-AUG-1967 23:50,1967,8,320.92,322.24,CO2,NA,NA,ppm
15-SEP-1967 23:34,1967,9,319.25,322.24,CO2,NA,NA,ppm
15-OCT-1967 23:38,1967,10,319.39,322.48,CO2,NA,NA,ppm
16-NOV-1967 00:14,1967,11,320.73,322.66,CO2,NA,NA,ppm
16-DEC-1967 00:18,1967,12,321.96,322.74,CO2,NA,NA,ppm
16-JAN-1968 00:08,1968,1,322.57,322.51,CO2,NA,NA,ppm
16-FEB-1968 00:08,1968,2,323.15,322.48,CO2,NA,NA,ppm
